career,comment
Research scientist,Nowadays I tend to use python/numpy for most of my work with C or Cuda C (if using parallel GPU cores) for compute expensive operations.
Faculty,
Postdoc,
Faculty,
Postdoc,
Faculty,Taking a workshop on Python soon I can encourage and help my students learn a language that can be used outside of academia as well.
Graduate student,
Postdoc,
Graduate student,
Postdoc,It would be great to have more career options for researchers who focus on software development in the astrophysical community.  Too many good researchers who contribute lots of great software to the community have been forced out of the field because of lack of recognition for their work and lack of funding for people other than those who publish several science papers a year.
Research scientist,
Research scientist,
Faculty,
Research scientist,
Graduate student,
,
Graduate student,
Graduate student,
Faculty,
Research scientist,
Graduate student,
Faculty,
Graduate student,
Faculty,I plan to switch from IDL to python over the next 2-3 years.
Research scientist,
Faculty,
Graduate student,
Graduate student,
Graduate student,
Graduate student,go go astropy!
Postdoc,
Postdoc,
Postdoc,
Faculty,Software development is very important and good practices should be taught in undergrad and grad school.
Graduate student,
Postdoc,
Graduate student,The existing python-related software is amazing but the documentation is confusing and needs more examples.
Postdoc,
Graduate student,
Graduate student,
Postdoc,
Postdoc,
Postdoc,
Graduate student,
Graduate student,
Graduate student,
Research scientist,
Postdoc,
staff scientist on long-term disability leave,at various times I've used: C Fortran shell scripts Perl SQL Excel spreadsheets Mathematica and IDL.  But rarely have I needed to rewrite things as often as once a month.  Currently on long-term disability leave.
staff scientist at an observatory,
Graduate student,
Graduate student,
Postdoc,
Graduate student,
Postdoc,
Graduate student,
Research scientist,I find that my observational colleagues are often unaware that we as computational scientists need to write proposals for supercomputers like they write for telescopes.  Also when we write science proposals (e.g. NASA NSF) we have to lie about how much time we will spend developing code say only a few months when in reality it occupies most of the grant period since code development is frowned upon (except within the new NASA ROSES program PDART started in 2014).
Graduate student,
Faculty,
Research scientist,
Graduate student,
Graduate student,
Graduate student,
Postdoc,
Graduate student,
Faculty,you might consider asking about licenses and which version control systems people use.
Postdoc,
Faculty,
Graduate student,
Research scientist,
Research scientist,
Faculty,Anyone who says they don't use software is a lying liar.
Research assistant,
Graduate student,
Graduate student,
Faculty,
Graduate student,
Postdoc,
Graduate student,
Graduate student,
Postdoc,PYTHON!!!!!!!!!
Graduate student,
Postdoc,
Postdoc,
Faculty,
Faculty,
Faculty,
Research scientist,Great idea and survey!!!Would be fantastic to see the results especially as a function of location and research stage!!CheersNic
Research scientist,
Postdoc,
Faculty,I am telling all of my students to learn Python and through that I am also gaining proficiency in python.  This is different from what my advisor did.  He told me to use the language that he used so that he could help me debug it.
Research scientist,
Graduate student,
Research scientist,
Postdoc,
Postdoc,
Postdoc,
Faculty,
Faculty,
Postdoc,
Postdoc,
Postdoc,
Postdoc,
Postdoc,
Postdoc,Really no C++!
Postdoc,
Faculty,
Postdoc,
Graduate student,
Graduate student,
Faculty,
Graduate student,
Faculty,"""Regularly"" is not quite useful as a concept - for different projects I would use different software. While doing this I would use that software very frequently."
Graduate student,
Postdoc,
Graduate student,
Postdoc,
Undergraduate student,
Faculty,
Graduate student,
Graduate student,
Research scientist,
Research scientist,
Graduate student,Lots (if not most of them) of astronomers use proprietary software and tools such as IDL and MacOSX. This is sad and wrong for obvious reasons.
Postdoc,
Research scientist,
Graduate student,
Graduate student,
Postdoc,
Faculty,
Faculty,
Graduate student,Is #2 missing?
Research scientist,
Faculty,
Research scientist,I write code mainly in SPP that is IRAF that gets compiled not scripted. (I am nearly fossilized.)
Postdoc,
Postdoc,
Faculty,
Postdoc,
Faculty,
Research scientist,
Postdoc,
Faculty,Add C++ to your list!
Faculty,
Graduate student,
Graduate student,
Research scientist,
Research scientist,
Research scientist,
Postdoc,
Faculty,
Postdoc,
Faculty,
Graduate student,
Faculty,
Graduate student,
Research scientist,
Graduate student,
Postdoc,
Graduate student,
Postdoc,
Research scientist,Where is actually Question 2.) ?
Research scientist,
Graduate student,
Adjunct Professor,
Postdoc,
Postdoc,yes let's focus on improving the software stop reinventing the wheel and prioritize reproducibility!
Graduate student,
Graduate student,
Faculty,
Graduate student,
Research scientist,
Research scientist,
Faculty,
Graduate student,
Postdoc,
Postdoc,
Staff engineer,
Graduate student,
Research scientist,
Research scientist,
Faculty,
Graduate student,
Graduate student,
Emeritus faculty,
Postdoc,
Graduate student,
Faculty,
Postdoc,
Postdoc,
Postdoc,
Graduate student,
Postdoc,
Postdoc,
Faculty,"Does ""awk"" go under shell scripting?  It's way easier than dealing with Excel.  What formerly took 50 - 100 lines of Fortran can be done in 2 lines of awk in one minute.  And where does one put daomatch/daomaster?  The instructions for that are just opaque to my mind so I wrote my own and then use awk to correct the instrumental magnitudes from allstar to 1 second equivalents and apply the transformations from the standards."
Graduate student,Wubbalubbadubdub!
Graduate student,
,
Graduate student,
Research scientist,
Faculty,
Research scientist,
Postdoc,
Postdoc,
Postdoc,
Postdoc,
Postdoc,
Faculty,
Faculty,Come on not including C++ as an option under 5 is a bit ridiculous.I am very frustrated by the lack of focus on good coding practices by Physics undergraduate and graduate degrees. Basically my postdocs can write spaghetti Fortran and that is about it.
Graduate student,
Postdoc,
Graduate student,
Graduate student,
Graduate student,
Graduate student,
Graduate student,
Postdoc,
Postdoc,
Faculty,
Graduate student,
Postdoc,"In a perfect world every physicist should have had a course of ""software architecture"" to develop maintanable and reusable softwares..."
Graduate student,
Research scientist,
Faculty,
Faculty,
Postdoc,
Postdoc,
Graduate student,
Research scientist,
Research scientist,
Graduate student,
Faculty,There was no question 2!!
Research scientist,
Research scientist,
Graduate student,"I wasn't really sure what ""a lot"" entails--I took a year and a half of CS courses in high school and have also attended the occasional workshop. This is certainly not a lot by CS major standards though so I wrote ""a little""."
Faculty,
Research scientist,
Graduate student,
Graduate student,
Graduate student,
Postdoc,
Research scientist,
Graduate student,
Graduate student,
Graduate student,
Research scientist,
Research scientist,
Graduate student,
Research scientist,
,
Postdoc,
Graduate student,
Postdoc,
Faculty,
Graduate student,
Graduate student,a lot of time is spend  on coding
Postdoc,
Engineer,
Graduate student,
Research scientist,
Postdoc,
Postdoc,
Graduate student,
Graduate student,
Graduate student,
Graduate student,
Postdoc,
Postdoc,
mestrado,
Graduate student,Another useful question may be on if you collaborate on software ie share your code with others or contribute to the code of others (not necessarily getting into the details of VCS's and platforms like Github.)
Postdoc,
Graduate student,
Postdoc,
Graduate student,I think astronomers need more training in CS. They/we are good but it could be a lot better. A current problem about writing software is the lack of recognition. For this I share this blog which describe some big problems in astronomy (science) at the current moment.http://jakevdp.github.io/blog/2014/08/22/hacking-academia/
Research scientist,
Research scientist,
Faculty,
Research scientist,
Faculty,
Graduate student,
Graduate student,
Research scientist,
Postdoc,
Graduate student,More interesting would be to ask for software you would like to use.Moreover using software was the question but ask is what language I use. Especially which one I use and not which one I like to use.
Postdoc,
Graduate student,
Faculty,
Graduate student,
Faculty,
Graduate student,
Graduate student,
Research scientist,
Postdoc,
Faculty,
Postdoc,
Faculty,
Postdoc,
Research scientist,
Graduate student,
Faculty,
Graduate student,
Graduate student,
Research scientist,
Graduate student,
Postdoc,
Graduate student,
Research scientist,
Postdoc,
Faculty,
Research scientist,
Graduate student,
Postdoc,
Postdoc,
Postdoc,I really wish that more formal training had been required as parts of both my undergrad and graduate physics programs.
Postdoc,
Postdoc,
Postdoc,
Postdoc,
Graduate student,
Graduate student,
Research scientist,
Faculty,
Research scientist,
Postdoc,
Graduate student,
Faculty,
Postdoc,
Faculty,
Postdoc,IDLAstro is crucial.
Postdoc,
Graduate student,
Postdoc,
,Software is very important!
Graduate student,
Director,
Graduate student,
Research scientist,people who develop software that the community use should be recognized more for their efforts!students should also receive more formal training earlier on in their career on using software.
Faculty,
Research scientist,
Postdoc,
Graduate student,
Postdoc,
Faculty,
Graduate student,
Postdoc,
Graduate student,another interesting question would be how much time you spend developing software and whether you typically write software having the (professional) public in mind or just yourself
Graduate student,
Postdoc,
Postdoc,
Graduate student,
Postdoc,
Postdoc,
Postdoc,
Graduate student,
Postdoc,
Postdoc,
Postdoc,
Graduate student,
Graduate student,
Graduate student,
Graduate student,
Research scientist,
Graduate student,
Graduate student,
Research scientist,
Postdoc,
PhD student,
Graduate student,
Postdoc,
Graduate student,
Graduate student,
Research scientist,
Faculty,
Postdoc,
Graduate student,
Graduate student,
Postdoc,
Faculty,
Graduate student,
Faculty,Astronomy needs more formal CS best practices training!
Graduate student,
Faculty,
Research scientist,
Research scientist,
Graduate student,
Faculty,
Postdoc,
Postdoc,I've only recently started working in IDL and Python.  I expect to do quite a bit of development in Python from now on.
Faculty,
Faculty,
Research scientist,
Research scientist,
Research scientist,
Postdoc,
Graduate student,
Graduate student,
Staff at FFRDC with some research time,
Graduate student,Our postgraduate students get together fortnightly to learn from each other review software talk about coding problems etc
Postdoc,
Graduate student,
Research scientist,
Graduate student,
Faculty,
Research scientist,
Research scientist,
Graduate student,
Faculty,
Postdoc,
Postdoc,
Graduate student,
Research scientist,password
Graduate student,
Graduate student,
Faculty,
Postdoc,So happy I no longer use IDL once a month.I also use TOPCAT a lot; it's not coding but it's in my top 3 most-used tools at the moment.
Postdoc,
Graduate student,
Graduate student,
Graduate student,
Faculty,
Graduate student,
Graduate student,
Postdoc,
Postdoc,
Research scientist,
Graduate student,
Faculty,
Graduate student,
Postdoc,
Faculty,
Faculty,
Graduate student,
Research scientist,
Research scientist,
Faculty,"In my view there are two aspects to programming:1. Learning about what programming is (or isnÕt) such as variables control structures and other fundamentals that occur in any language.  This includes learning how to solve a problem on paper (algorithms flowcharts psuedocodes) before you even sit in front of a computer.2. Learning about a specific language.  This is where you learn the specific ÒsyntaxÓ of a programming language Ð such as how to define variables build loops create functions etc.Astronomers might be better programmers if they had more of an understanding of what programming was before diving in and trying to make sense of a particular language (or for many PhD students their supervisor's existing codes and scripts).  The fundamentals of programming teach astronomers to be better problem solvers (in general) because programming is about looking at problems and breaking them down into (sequential or parallel) steps.  There is always a risk of going with a programming language that is the ""flavour of the month"" - a strong foundation in the fundamentals of programming offers some protection against that.Complementary to programming skills are the skills relating to software development (specifying requirements software design testing debugging strategies code management documentation etc.)."
Graduate student,
Graduate student,
Graduate student,
Postdoc,Software developed by researches in the field tend to be poorly written and document. Formal training and some experience with HPC for students would be invaluable.
Graduate student,
Postdoc,
Faculty,
Graduate student,
Research scientist,
Postdoc,
Research scientist,
Postdoc,
Research scientist,
Postdoc,
Graduate student,
Graduate student,
Postdoc,
Undergraduate student,
Faculty,
Postdoc,
Graduate student,I recently switched from using IDL as my primary programming language to using python.
Graduate student,
Research scientist,
Faculty,
Postdoc,
Graduate student,
Postdoc,
Graduate student,Helps to include courses in computation and statistics in grad curriculum.
Postdoc,
Research scientist,
Faculty,
Graduate student,
Graduate student,
Research scientist,
Postdoc,
Faculty,
Postdoc,
Graduate student,
Graduate student,
Research scientist,
Graduate student,
Graduate student,
Faculty,
Faculty,
Research scientist,
Postdoc,
Faculty,
Faculty,
Graduate student,
Research scientist,A fairly common task is porting code/algorithms from one language to one that the bulk of my routines may be in e.g. Matlab -> Python
Graduate student,
Faculty,
Graduate student,
Postdoc,
Postdoc,I graduated from Electrical Engineering and 5 yrs working as a software & systems engineer. That experience has been invaluable in my use & writing of astronomical software.
Postdoc,
Research scientist,
Faculty,
Postdoc,Software development is evidently as important a tool in modern science as mathematics and just as it has historically not been deemed wise to outsource all mathematics to professional mathematicians I believe a large fraction of scientific software development will have to be accomplished by scientists who are intimately familiar with the problem at hand. Perhaps more than is the case for mathematics though the paper metric used for hiring scientists often pushes excellent software developers out of science and into industry who are then lost to us.
Graduate student,
Postdoc,
Postdoc,I want to learn python and R as soon as posible
Postdoc,
Postdoc,
Graduate student,I should use github but first I should learn git...I don't get git depite having gotten git...so many puns...
Graduate student,
Research scientist,
Faculty,
Faculty,
Graduate student,
Postdoc,At question 5 I assumed C stood for C/C++ because I mostly use C++
Research scientist,
Postdoc,
Graduate student,We should make IRAF better!
Postdoc,
Postdoc,
Postdoc,
Faculty,I am working on our undergraduate curriculum evaluation (at Universidad de Chile) and we expect to include more astro-informatics as a result of this process.
Postdoc,
Postdoc,
Graduate student,I use Gadget-2 to run simulations of dark matter halos.
Faculty,
Graduate student,
Postdoc,
Graduate student,
Postdoc,
Graduate student,
Postdoc,
Postdoc,
Postdoc,You have to be smart and hard working to maintain an academic career but given the lack of money and the assholes that you have to put up with you have to be stupid to try to pursue an academic career. It's like a really boring version of Catch-22
Graduate student,
Graduate student,
Graduate student,
Graduate student,At this stage I see Python as the future and am rapidly moving away from IDL.
Research scientist,
Postdoc,
Faculty,
Faculty,
Postdoc,
Postdoc,Please don't use Jython.We need more formal training even if it is only the basics.
Postdoc,Python >> IDL
Postdoc,
Graduate student,
Graduate student,
Postdoc,
Graduate student,
Faculty,
Faculty,
Faculty,
Graduate student,
Graduate student,
Undergraduate student,
Faculty,
Postdoc,
Faculty,I wish there was more formal training in coding & software development but with an emphasis on astronomy research.
Postdoc,
Graduate student,
Postdoc,
Faculty,
Postdoc,
Research scientist,
Research scientist,
Research scientist,
Postdoc,
Postdoc,
Graduate student,
Graduate student,
Graduate student,
Postdoc,
Graduate student,
Graduate student,None
Graduate student,
Graduate student,
Astronomer at national observatory,
Postdoc,
Postdoc,
Research scientist,
Postdoc,
Postdoc,
Graduate student,
Postdoc,cool it would be interesting to know which fraction of people who handle large data sets use or are willing to use/convert codes to parallel implementations mpi/openmp etc.my concern as local computer cluster manager is that a lot of people still use serial codes to do things that can be done hundred times faster in a parallel implementation the resources exist but they are not willing or interested in rewrite their old serial codes to parallel in particular this happens to observational astronomers.thanks regonzar@astro.puc.cl
Graduate student,
Faculty,
Graduate student,I also use gnuplot heavily although I would not consider thata programming language.
Faculty,
Postdoc,
Postdoc,
Research scientist,
Faculty,
Faculty,
Graduate student,
Faculty,
Undergraduate student,
Postdoc,
Graduate student,
Graduate student,Training on use of networked systems would be helpful
Postdoc,
Postdoc,We need more courses given by Universities and not that a student has to look for
Postdoc,
Research scientist,
Graduate student,
Postdoc,
Postdoc,
Faculty,
Graduate student,
Postdoc,
Postdoc,
Faculty,
Graduate student,
Graduate student,
Postdoc,
Graduate student,
Faculty,
Faculty,
Graduate student,If there is any software development training program for astronomers I would love to attend.
Research scientist,You are missing all standard radio astronomy software packages such as CASA AIPS and MIRIAD in your software list.  These fall in between programming languages and stand alone tools to differing degrees in a way similar to IRAF and IDL.
Postdoc,
Postdoc,I have occasionally used matlab and keep meaning to learn python but haven't got around to it.
Research scientist,
Postdoc,
Postdoc,
Research scientist,
Graduate student,
Faculty,
Graduate student,
Graduate student,
Graduate student,
Graduate student,
Faculty,
Research scientist,
Postdoc,
Graduate student,
Postdoc,
Research scientist,
Faculty,
Graduate student,
Research scientist,
Graduate student,
Graduate student,
Postdoc,
Faculty,
Graduate student,
Faculty,While I haven't learned it yet many of my colleagues use python and I make all of my students learn that (instead of e.g. matlab).
Graduate student,
Undergraduate student,
Postdoc,
Faculty,
Postdoc,
Retired Faculty,
Graduate student,
Graduate student,
Research scientist,
Postdoc,
Faculty,
Faculty,
Graduate student,
Graduate student,
Graduate student,
Graduate student,
Graduate student,
Research scientist,
Graduate student,
Research scientist,
Postdoc,
Faculty,
Graduate student,
Graduate student,
Postdoc,
Graduate student,
Postdoc,
Postdoc,Hello World!
Postdoc,IDL is still useful.
Faculty,Currently I code in IDL but I am trying to switch to python
Graduate student,
Postdoc,It would be useful if astronomy moved towards reproducible reserach methods with good public code published with papers.
Graduate student,
Faculty,
Postdoc,
Postdoc,
Graduate student,
Graduate student,Astro students should get more formal training in programming and software design (and it should happen at the undergraduate level whenever possible)
Faculty,
Graduate student,
Faculty,
Postdoc,
Postdoc,I also use legacy FORTRAN code which is incredibly fast like 3x the speed of C and 10x the speed of Python so I like it but I never program in it and wouldn't know why it is so fast.
Graduate student,
Research scientist,
Research scientist,
almost retired,I wish I could have written software to do what I needed.
Postdoc,I am interested in learning Julia but I don't use it much.
Faculty,
Faculty,I find python in particular to be incredibly useful and have taken to using its object-oriented features much more over the years.  During the stage of my career when I might have learned IDL it was too expensive for me and we didn't have a site license.  I might use it if that had not been the case.
Faculty,Yes I still use Fortran 77... now get off my lawn!
Postdoc,
Graduate student,
Graduate student,
Faculty,
Postdoc,
Faculty,
Graduate student,
Faculty,
Research scientist,
Postdoc,
Research scientist,"I have 30+ years experience in software and hardware construction and design. Being old enough to have built my first computer from bare circuit boards I find it frustrating today that ""young people"" really have no idea how a computer actually works. There's a lot of chasing of the ""language du jour"" without really understanding if it is an appropriate tool for the task at hand."
emeritus faculty,
Graduate student,"We need to be teaching undergraduates and graduates good object-oriented design skills from day one. Software is more important now than it ever was and the ""learn as you go"" mentality causes a tremendous amount of wasted efforts as bad code has to be rewritten all too often with the side effect of having astronomers with career skills that aren't as well developed as they could have been should they choose to leave astronomy.Also we should make a concerted effort to rewrite some of our legacy tools (IDL libraries IRAF etc) in a language and style that is more easily and cleanly extended and maintained. Incentives to put in the time and money for these [initially] low impact projects are hard to come by though."
Faculty,
Research scientist,
Graduate student,
Faculty,
Post-Bachelors Research Scientist,
Faculty,Moving to Python as IDL needs a licence... And I just like the language.
Faculty,
Postdoc,
Research scientist,
Research scientist,
Graduate student,
Graduate student,
Postdoc,
Postdoc,
Graduate student,
Postdoc,
Postdoc,
Graduate student,Mainly IDL user who wants to switch to python as it is more open source. So far I lack the motivation to switch immediately and keep pushing it back...
Research scientist,
Postdoc,
Graduate student,
Faculty,
Graduate student,
Graduate student,
Graduate student,
Postdoc,
Graduate student,
Postdoc,
Postdoc,
Postdoc,
Research scientist,Though I'm not a professional astronomer/scientist (am employed as a software engineer) I use the Zooniverse & BONIC projects and currently trying to get get into data mining for exoplanets research.
Graduate student,The coding skills incoming graduate students possess seem to vary wildly but they are often dismal with respect to the level required to begin doing serious research right away. In my department there seems to be little motivation to rectify this with either: (1) requiring undergraduate CS preparation as a condition for admission; or (2) organizing a programming course for beginning graduate students. This situation seems if not unsustainable very much non-optimal for the cultivation of strong substantive independent research skills. I imagine many other departments are currently facing the same dilemma.
Graduate student,
Postdoc,
Research scientist,
Graduate student,
Graduate student,
Research scientist,
Graduate student,
Postdoc,
Graduate student,
Undergraduate student,
Postdoc,
Faculty,
Faculty,
Research scientist,
Postdoc,
Graduate student,
Graduate student,
Graduate student,
Graduate student,
Faculty,
Graduate student,
Faculty,I also work part of the year in the US have two affiliations in two countries
Graduate student,
Postdoc,
Graduate student,
Postdoc,
Graduate student,
Faculty,
Postdoc,
Faculty,
Graduate student,
Research scientist,
Research scientist,
Graduate student,
Research scientist,
Postdoc,
Research scientist,
Faculty,
Postdoc,
Postdoc,
Faculty,
Postdoc,
Research scientist,
Postdoc,
Graduate student,
Postdoc,
Research scientist,
Faculty,
Postdoc,
Graduate student,
Research scientist,Question 4 is a little tricky - I work on some large collaborative projects such as Gaia DPAC - writing lots of software but also using lots of other peoples (either who are jointly developing) or as a 3rd party bit of code.
Research scientist,
Postdoc,
Faculty,
Graduate student,I plan to learn Python but haven't yet worked with it.
Research scientist,
Graduate student,
Graduate student,
Postdoc,We need more formal training at the undergrad level!
Faculty,
Postdoc,
Postdoc,
Graduate student,
Postdoc,
Research scientist,
Graduate student,
Research scientist,
Research scientist,
Postdoc,
Research scientist,
Faculty,
Faculty,
Postdoc,
Graduate student,
Faculty,"As I get older I cannot keep up with the rapid changes in software. It is not just my age - software changes so quickly now. However there is a good side to this too. The software has become more object oriented which allows us to stitch together packages and libraries. You can program in python but call C or Fortran IRAF and whatever other languages you need.Astronomers waste too much time arguing what is the ""best"" software. The best is whatever you use to get your stuff done."
Faculty,
Research scientist,
Graduate student,
Postdoc,
Research scientist,
Postdoc,
Postdoc,
Research scientist,
Graduate student,MATLAB classes for graduate students would be very useful.
Faculty,
Postdoc,
Graduate student,
Graduate student,
Graduate student,I learned IDL as an undergrad and continue to mostly code in it as a grad student. However I've been learning Python lately and plan to mostly switch over within the next year or so.
Research scientist,
Undergraduate student,
Postdoc,
Postdoc,
Research scientist,
Graduate student,
Postdoc,
Postdoc,
Postdoc,
Postdoc,
Faculty,
Graduate student,
Graduate student,
Postdoc,
Postdoc,
Faculty,
Postdoc,I also know and use HTML/CSS and IDL but not regularly.
Postdoc,
Undergraduate student,
Faculty,
Graduate student,
Graduate student,
Research scientist,
Faculty,
Research scientist,
Postdoc,
Graduate student,
Postdoc,
Postdoc,
Graduate student,
Research scientist,
Research scientist,
Graduate student,
Research scientist,
Undergraduate student,
Research scientist,
Faculty,
Graduate student,
Faculty,
Graduate student,
Postdoc,
Research scientist,
Engineer,
Research scientist,I put down ISIS which is not really a programming language itself but used heavily in planetary by those working with spacecraft data sort of like IRAF.
Research scientist,
Graduate student,
Postdoc,
Graduate student,
Research scientist,
Graduate student,
Faculty,
Postdoc,
Graduate student,
Faculty,
Research scientist,
Faculty,
Postdoc,
Postdoc,
Faculty,
Postdoc,
Postdoc,
Postdoc,
Faculty,
Graduate student,
Faculty,
Faculty,
Graduate student,
Faculty,
Postdoc,
Postdoc,I took a Software Carpentry workshop and a couple Codecademy classes.
Postdoc,
Faculty,
Faculty,
Graduate student,
Emeritus Faculty,After years of Fortran going back to the early 60's then complementedby Mongo for graphics  I saw the light and now do everything in IDL.  Iswore that I would not learn another language but the handwriting ison the wall that I will have to learn Python.  Why?  Because it seemsto be free.
Research scientist,
Graduate student,
Graduate student,
Postdoc,
Research scientist,it is worth mentioning the use of VO tools including TopCat Aladin Vizier etc. data analysis software like Miriad Xspec CIAO script-friendly GUI tools like DS9 or Gaia  pre-compiled routines for astropy ipython etc. New tools like Glue should soon be of importance.
Postdoc,
PhD student,
Graduate student,
Graduate student,
Graduate student,
Faculty,
Postdoc,
Research scientist,
Graduate student,I wish I could get more formal training on programming. I have the feeling that Astronomy and Physics department usually don't emphasize the importance of programming until people start doing researches.
Research scientist,
Postdoc,
Graduate student,
Graduate student,
Research scientist,
Graduate student,
Graduate student,
Faculty,
Postdoc,
Graduate student,
Research scientist,
Faculty,
Postdoc,
Graduate student,
Postdoc,
Postdoc,
Graduate student,
Graduate student,
Postdoc,
Graduate student,Idl needs to be put out of its misery.
Faculty,
Research scientist,
Research scientist,
