#1. Do you use software in your research?,3. Have you had formal training in software development?,4. Which of these is more common in your work?,5. Select any of these that you use regularly to write code for your research.,6. What is your field of research?,7. What is your career stage?,8. My institution is located in:,9. Please share any other comments you may have on the topic.
use,training,own,software,field,career,location
Yes,No,Between,Python C Fortran Shell Scripting HTML/CSS sm or supermongo C++ cvs git emacs,Observational Theory,Faculty,United States of America
Yes,No,Others,IRAF Fortran HEASARC CIAO XMM-SAS,Observational,Faculty,Italy
Yes,No,Own,IDL Fortran Excel or other spreadsheet,Observational Theory,Faculty,United States of America
Yes,No,Between,IDL IRAF HTML/CSS Labview,Observational Instrumentation,Faculty,United States of America
Yes,No,Between,Python C Shell Scripting sm or supermongo,Theory,Faculty,United States of America
Yes,No,Between,IRAF C Matlab,Instrumentation,Faculty,United States of America
Yes,No,Between,IDL Fortran Perl Shell Scripting,Theory,Faculty,United States of America
Yes,No,Others,IDL IRAF Fortran HTML/CSS Excel or other spreadsheet,Observational,Faculty,United States of America
Yes,No,Own,IDL IRAF Fortran Shell Scripting sm or supermongo,Observational,Faculty,United States of America
Yes,No,Own,Python C Javascript Java HTML/CSS yorick,Observational,Faculty,Switzerland
Yes,No,Others,IRAF Excel or other spreadsheet miriad,Observational,Faculty,Australia
Yes,No,Own,IDL,Observational,Faculty,United States of America
Yes,No,Between,Python SQL C++,Observational Instrumentation,Faculty,United States of America
Yes,No,Between,IDL IRAF,Observational Planetary,Faculty,United States of America
Yes,No,Others,Python Excel or other spreadsheet,Observational,Faculty,United States of America
Yes,No,Own,Fortran,Theory,Faculty,United States of America
Yes,No,Others,,Observational,Faculty,Chile
Yes,No,Between,Python Fortran Perl,Observational,Faculty,Australia
Yes,No,Between,IDL Python Fortran Matlab SQL,Observational,Faculty,United States of America
Yes,No,Others,IRAF Python,Observational,Faculty,United States of America
Yes,No,Others,IRAF Fortran Perl sm or supermongo,Observational,Faculty,United Kingdom
Yes,No,Between,IRAF Python Perl Shell Scripting c++,Observational Theory,Faculty,Netherlands
Yes,No,Own,IDL,Observational,Faculty,United States of America
Yes,No,Own,IDL Shell Scripting,Observational,Faculty,Spain
Yes,No,Own,Python C,Theory,Faculty,Australia
Yes,No,Between,Python Shell Scripting HTML/CSS sm or supermongo Excel or other spreadsheet awk C++,Observational Theory Instrumentation,Faculty,Netherlands
Yes,No,Between,IRAF Python Matlab Shell Scripting sm or supermongo,Observational Theory,Faculty,Canada
Yes,No,Own,IDL Shell Scripting,Observational Planetary,Faculty,United States of America
Yes,No,Own,Java,Theory,Faculty,Mexico
Yes,No,Between,IDL SQL Excel or other spreadsheet,Observational,Faculty,United Kingdom
Yes,No,Own,IDL Fortran HTML/CSS,Theory,Faculty,United States of America
Yes,No,Between,IDL IRAF SQL,Observational,Faculty,United States of America
Yes,No,Between,Perl Gnuplot,Observational Planetary,Faculty,Chile
Yes,No,Own,IDL Excel or other spreadsheet,Observational Theory,Faculty,United Kingdom
Yes,No,Between,IDL Python Fortran R,Theory,Faculty,Germany
Yes,No,Between,IDL Python SQL Shell Scripting Excel or other spreadsheet,Observational,Faculty,Australia
Yes,No,Between,Fortran Shell Scripting Figaro sm or supermongo,Observational Theory,Faculty,United Kingdom
Yes,No,Own,IDL Python,Observational,Faculty,United States of America
Yes,No,Own,IRAF Python Fortran Perl sm or supermongo,Theory,Faculty,Canada
Yes,No,Others,Shell Scripting HTML/CSS sm-like interface to pgplot. Basically wrote own language ages ago and still cling to it.,Observational Theory,Faculty,United States of America
Yes,No,Own,IDL,Observational,Faculty,United States of America
Yes,No,Others,IDL Python,Observational,Faculty,
Yes,No,Between,IRAF Python,Observational Instrumentation,Faculty,United States of America
Yes,No,Between,IDL Python Matlab HTML/CSS Excel or other spreadsheet,Observational,Faculty,United States of America
Yes,No,Own,Python C Fortran Shell Scripting HTML/CSS C++,Theory,Faculty,United States of America
Yes,No,Between,Fortran,Observational,Faculty,Australia
Yes,No,Between,Matlab Excel or other spreadsheet LabView,Instrumentation,Faculty,United States of America
Yes,No,Between,IDL IRAF Python Perl R SQL Shell Scripting sm or supermongo PHP,Observational,Faculty,Chile
Yes,No,Between,IDL IRAF Python,Observational,Faculty,Chile
Yes,No,Between,IRAF Matlab Shell Scripting,Observational,Faculty,United States of America
Yes,No,Others,IRAF sm or supermongo Excel or other spreadsheet,Observational,Faculty,Argentina
Yes,No,Own,Mathematica,Observational Planetary,Faculty,United States of America
Yes,No,Between,IDL Python Shell Scripting,Observational,Faculty,United States of America
Yes,No,Own,Fortran Perl Shell Scripting,Theory,Faculty,United States of America
Yes,No,Own,IDL C Fortran Matlab Shell Scripting,Theory,Faculty,Spain
Yes,No,Own,Fortran Matlab R Shell Scripting mathematica pgplot,Theory,Faculty,India
Yes,No,Own,Python Fortran Perl,Theory,Faculty,Germany
Yes,No,Between,IDL,Observational,Faculty,United States of America
Yes,No,Between,Python Shell Scripting,Observational,Faculty,France
Yes,No,Between,IDL Python,Observational,Faculty,United States of America
Yes,No,Between,Fortran Shell Scripting sm or supermongo Excel or other spreadsheet MIDAS,Observational,Faculty,Germany
Yes,No,Own,IRAF Python C SQL Shell Scripting,Observational Instrumentation,Faculty,Germany
Yes,No,Between,Python C Perl,Observational,Faculty,United Kingdom
Yes,No,Own,IDL Python SQL Shell Scripting,Observational Instrumentation Planetary,Faculty,United States of America
Yes,No,Between,Python C Fortran Perl Shell Scripting sm or supermongo,Theory,Faculty,United States of America
Yes,No,Between,IDL IRAF Python,Observational,Faculty,United Kingdom
Yes,No,Own,Python,Observational,Faculty,United States of America
Yes,No,Own,IDL Python C Matlab,Physics,Faculty,Australia
Yes,No,Between,Python C Fortran Shell Scripting HTML/CSS sm or supermongo Excel or other spreadsheet,Observational,Faculty,Australia
Yes,No,Between,IDL Perl,Observational Theory,Faculty,Canada
Yes,No,Own,Matlab,Observational Theory,Faculty,United States of America
Yes,No,Between,IDL IRAF Perl HTML/CSS,Observational,Faculty,United States of America
Yes,No,Between,Python Fortran sm or supermongo,Observational,Faculty,Chile
Yes,No,Between,IDL IRAF C Fortran Perl,Observational,Faculty,Australia
Yes,No,Between,IDL Python SQL,Observational,Faculty,Germany
Yes,No,Between,IDL C Perl Javascript Shell Scripting HTML/CSS sm or supermongo,Observational Instrumentation,Faculty,United States of America
Yes,No,Between,IDL C,Observational,Faculty,Germany
Yes,No,Own,C Fortran sm or supermongo,Theory,Faculty,Germany
Yes,No,Between,Fortran HTML/CSS MIDAS LaTeX,Observational Instrumentation,Faculty,Germany
Yes,No,Own,Fortran,Theory,Faculty,Germany
Yes,No,Own,IDL Python C Fortran Shell Scripting,Observational Theory,Faculty,Germany
Yes,No,Others,IDL Fortran Perl Shell Scripting sm or supermongo,Observational,Faculty,United States of America
Yes,No,Between,IDL,Observational,Faculty,United States of America
Yes,No,Others,IRAF HTML/CSS sm or supermongo,Observational,Faculty,Germany
Yes,No,Between,Python Fortran Shell Scripting,Observational,Faculty,United Kingdom
Yes,No,Others,Fortran sm or supermongo Excel or other spreadsheet,Observational,Faculty,United States of America
Yes,No,Own,IDL,Planetary,Faculty,United States of America
Yes,No,Others,Python,Planetary,Faculty,United Kingdom
Yes,No,Own,C Fortran Matlab,Planetary,Faculty,United Kingdom
Yes,Little,Others,IDL Python Fortran Perl,Observational,Faculty,Uzbekistan
Yes,Little,Others,Python Javascript SQL HTML/CSS MongoDB,Observational,Faculty,United Kingdom
Yes,Little,Between,IDL Excel or other spreadsheet,Observational,Faculty,United States of America
Yes,Little,Between,Python C Fortran Shell Scripting,Theory,Faculty,United States of America
Yes,Little,Between,IDL Python,Observational,Faculty,United States of America
Yes,Little,Between,C Perl SQL Shell Scripting,Observational,Faculty,United States of America
Yes,Little,Others,IDL IRAF Python C sm or supermongo Excel or other spreadsheet,Observational,Faculty,Chile
Yes,Little,Others,IRAF Python C Fortran sm or supermongo,Observational,Faculty,United States of America
Yes,Little,Others,Fortran,Observational Instrumentation,Faculty,Israel
Yes,Little,Own,IDL Fortran,Theory,Faculty,United States of America
Yes,Little,Between,IDL C Shell Scripting heasoft ciao xmm-sas,Observational,Faculty,United Arab Emirates
Yes,Little,Own,IDL Python Fortran Perl R SQL Shell Scripting HTML/CSS Excel or other spreadsheet,Observational,Faculty,Netherlands
Yes,Little,Between,IRAF Python Shell Scripting,Observational,Faculty,Sweden
Yes,Little,Between,IRAF C Fortran Shell Scripting Excel or other spreadsheet IRIS,Other,Faculty,Brazil
Yes,Little,Own,IDL Python,Planetary,Faculty,Netherlands
Yes,Little,Between,IDL,Observational,Faculty,United States of America
Yes,Little,Own,IDL Python SQL,Observational Instrumentation,Faculty,United States of America
Yes,Little,Between,IDL C,Observational Theory,Faculty,Canada
Yes,Little,Between,C Fortran Shell Scripting HTML/CSS,Theory,Faculty,United Kingdom
Yes,Little,Between,Python C Perl SQL Shell Scripting HTML/CSS sm or supermongo,Observational,Faculty,Canada
Yes,Little,Between,IDL Shell Scripting,Observational,Faculty,Canada
Yes,Little,Own,Fortran,Theory,Faculty,United States of America
Yes,Little,Between,IDL IRAF R,Observational,Faculty,United States of America
Yes,Little,Own,IDL Python,Observational,Faculty,United States of America
Yes,Little,Between,IDL Fortran,Observational,Faculty,Australia
Yes,Little,Between,IDL,Observational,Faculty,France
Yes,Little,Between,IDL C,Observational,Faculty,United States of America
Yes,Little,Between,Python C Fortran Shell Scripting,Theory,Faculty,United States of America
Yes,Little,Own,Python Julia R C++,Astrostatistics,Faculty,New Zealand
Yes,Little,Between,IDL,Space Physics,Faculty,United States of America
Yes,Little,Between,Python C,Observational,Faculty,United States of America
Yes,Little,Own,IRAF Fortran Shell Scripting sm or supermongo,Observational,Faculty,United States of America
Yes,Little,Between,Python C Shell Scripting,Observational,Faculty,United Kingdom
Yes,Little,Own,C SQL,Observational,Faculty,United States of America
Yes,Little,Between,IRAF Python Fortran Shell Scripting sm or supermongo MIDAS,Observational,Faculty,Italy
Yes,Little,Own,IDL Shell Scripting Excel or other spreadsheet,Observational,Faculty,United Kingdom
Yes,Little,Between,IDL Python C SQL Shell Scripting HTML/CSS Excel or other spreadsheet,Observational,Faculty,United States of America
Yes,Little,Own,IDL IRAF Shell Scripting,Observational,Faculty,United States of America
Yes,Little,Between,Python C Shell Scripting Excel or other spreadsheet,Observational Instrumentation,Faculty,United States of America
Yes,Little,Between,IRAF Python Fortran Perl Shell Scripting sm or supermongo Excel or other spreadsheet,Observational,Faculty,United States of America
Yes,Little,Between,IDL Python,Observational,Faculty,United States of America
Yes,Little,Own,IRAF Python C Fortran Perl Java Shell Scripting STAN HTML/CSS Excel or other spreadsheet,Observational Instrumentation,Faculty,United States of America
Yes,Little,Between,IDL IRAF Shell Scripting phoebe,Observational,Faculty,Mexico
Yes,Little,Own,C Fortran SQL HTML/CSS sm or supermongo Vista PHP,Observational,Faculty,United States of America
Yes,Little,Between,IDL IRAF Python Fortran Java Shell Scripting HTML/CSS Excel or other spreadsheet,Observational,Faculty,United States of America
Yes,Little,Others,IDL IRAF,Observational,Faculty,United States of America
Yes,Little,Between,IDL,Observational,Faculty,United States of America
Yes,Little,Between,IDL IRAF Python Shell Scripting Excel or other spreadsheet,Observational Planetary,Faculty,United States of America
Yes,Little,Between,Python,Theory,Faculty,United States of America
Yes,Little,Others,,Observational,Faculty,United States of America
Yes,Little,Own,Python C Fortran Perl Shell Scripting HTML/CSS sm or supermongo Excel or other spreadsheet Mathematica,Observational,Faculty,United States of America
Yes,Little,Between,Python C Shell Scripting,Theory,Faculty,United States of America
Yes,Little,Between,IDL Python Perl Javascript Shell Scripting HTML/CSS,Observational,Faculty,United States of America
Yes,Little,Between,IRAF Python C Java,Observational,Faculty,United States of America
Yes,Little,Others,IDL IRAF Python Shell Scripting sm or supermongo,Observational Theory,Faculty,United States of America
Yes,Little,Between,IDL IRAF Python Fortran Shell Scripting,Observational Instrumentation,Faculty,Turkey
Yes,Little,Between,IDL IRAF Fortran Shell Scripting sm or supermongo,Observational,Faculty,United States of America
Yes,Little,Between,Python Perl Shell Scripting HTML/CSS sm or supermongo,Observational Theory,Faculty,United States of America
Yes,Little,Between,IDL,Observational,Faculty,United States of America
Yes,Little,Own,IDL Fortran mathematica,Theory,Faculty,Germany
Yes,Little,Own,IDL Python Shell Scripting HTML/CSS C++,Observational Theory Instrumentation,Faculty,United States of America
Yes,Little,Between,IDL Perl,Observational Planetary,Faculty,United Kingdom
Yes,Little,Between,IDL Python C Fortran Java R sm or supermongo,Observational Instrumentation,Faculty,Argentina
Yes,Little,Others,IDL Fortran Shell Scripting HTML/CSS,Observational,Faculty,France
Yes,Little,Own,IDL IRAF Python C Fortran Perl Javascript Java Shell Scripting HTML/CSS Excel or other spreadsheet,Observational Instrumentation,Faculty,United States of America
Yes,Little,Others,Python,Observational,Faculty,Argentina
Yes,Little,Own,IRAF Fortran Shell Scripting,Observational,Faculty,United States of America
Yes,Little,Others,Excel or other spreadsheet,Observational Theory,Faculty,United States of America
Yes,Little,Between,IDL IRAF Perl SQL Shell Scripting,Observational,Faculty,United States of America
Yes,Little,Own,Python C SQL Excel or other spreadsheet,Observational Instrumentation,Faculty,United States of America
Yes,Little,Between,IDL Shell Scripting,Observational,Faculty,United States of America
Yes,Little,Own,IRAF Python Fortran Perl R sm or supermongo Excel or other spreadsheet,Observational,Faculty,United States of America
Yes,Little,Own,IDL,Planetary,Faculty,United States of America
Yes,Little,Between,Python C Fortran Shell Scripting,Theory,Faculty,United States of America
Yes,Little,Between,IDL IRAF Python Fortran Perl,Observational,Faculty,United States of America
Yes,Little,Between,IDL IRAF Python,Instrumentation,Faculty,Germany
Yes,Little,Own,R,Observational Theory,Faculty,Germany
Yes,Little,Between,Python C Fortran Shell Scripting,Theory,Faculty,United States of America
Yes,Little,Between,IDL IRAF Python,Observational,Faculty,United States of America
Yes,Little,Own,Python Fortran Matlab,Observational Theory,Faculty,Israel
Yes,Yes,Between,Python C Shell Scripting,Observational,Faculty,Australia
Yes,Yes,Own,IDL Python C Shell Scripting,Observational Theory,Faculty,United States of America
Yes,Yes,Between,Python C,Instrumentation,Faculty,Holy See
Yes,Yes,Between,IRAF Python C Javascript Java Shell Scripting HTML/CSS Excel or other spreadsheet,Instrumentation,Faculty,United States of America
Yes,Yes,Own,C Shell Scripting,Theory,Faculty,United States of America
Yes,Yes,Between,C Matlab SQL Shell Scripting,Observational,Faculty,United States of America
Yes,Yes,Between,IDL Python SQL Shell Scripting HTML/CSS,Observational Instrumentation,Faculty,United States of America
Yes,Yes,Between,IDL IRAF Python C Perl Shell Scripting PDL,Observational,Faculty,Chile
Yes,Yes,Between,C Perl HTML/CSS,Theory,Faculty,Germany
Yes,Yes,Own,C Perl SQL Yorick CUDA extension,Theory,Faculty,France
Yes,Yes,Own,IDL Python Perl Matlab HTML/CSS Excel or other spreadsheet xmgrace,Observational Instrumentation,Faculty,United States of America
Yes,Yes,Own,Python C Fortran Matlab SQL Shell Scripting,Theory,Faculty,United States of America
Yes,Yes,Own,C Shell Scripting HTML/CSS PHP,Theory Visualisation and scientific computing,Faculty,Australia
Yes,Yes,Between,IRAF Python C Shell Scripting,Observational,Faculty,Chile
Yes,No,Between,IDL Python Shell Scripting,Observational,Graduate student,United States of America
Yes,No,Others,IDL Python Matlab Shell Scripting,Observational,Graduate student,United States of America
Yes,No,Between,IDL Python Matlab,Observational Instrumentation,Graduate student,United Kingdom
Yes,No,Between,Python Fortran Shell Scripting,Theory,Graduate student,United States of America
Yes,No,Others,IDL Python Shell Scripting,Observational,Graduate student,United States of America
Yes,No,Between,Python Fortran,Observational,Graduate student,United States of America
Yes,No,Between,Python,Theory,Graduate student,United States of America
Yes,No,Own,Python C Fortran,Theory,Graduate student,United States of America
Yes,No,Between,Python Matlab,Observational,Graduate student,Australia
Yes,No,Between,Python C Excel or other spreadsheet,Observational Instrumentation,Graduate student,United States of America
Yes,No,Between,IDL IRAF Python Shell Scripting,Observational,Graduate student,United Kingdom
Yes,No,Others,IDL IRAF Python Fortran,Observational,Graduate student,United States of America
Yes,No,Others,IDL Python,Observational,Graduate student,United States of America
Yes,No,Own,Python Matlab Java Mathematica,Observational,Graduate student,Germany
Yes,No,Between,Python SQL Shell Scripting sm or supermongo yorick,Observational,Graduate student,Germany
Yes,No,Own,IDL Python C,Theory,Graduate student,United States of America
Yes,No,Own,Python C SQL Shell Scripting,Theory Plasma /pulsar,Graduate student,Germany
Yes,No,Between,IRAF Python Shell Scripting,Observational,Graduate student,United States of America
Yes,No,Others,C Fortran sm or supermongo Excel or other spreadsheet,Observational Instrumentation,Graduate student,Germany
Yes,No,Between,Python,Observational,Graduate student,United States of America
Yes,No,Others,IDL IRAF,Observational,Graduate student,United States of America
Yes,No,Between,Python Shell Scripting,Observational,Graduate student,Brazil
Yes,No,Others,IDL,Theory,Graduate student,Germany
Yes,No,Between,IDL IRAF Python Shell Scripting Excel or other spreadsheet yorick,Observational Simulataions,Graduate student,Brazil
Yes,No,Others,IDL IRAF Python C Shell Scripting,Observational Theory,Graduate student,United States of America
Yes,No,Between,IDL Python C,Observational,Graduate student,United States of America
Yes,No,Between,Python Shell Scripting,Observational,Graduate student,United Kingdom
Yes,No,Own,IDL Python Fortran R,Planetary,Graduate student,Brazil
Yes,No,Own,IDL,Observational,Graduate student,United States of America
Yes,No,Between,IRAF Python S-lang,Observational,Graduate student,Netherlands
Yes,No,Between,Python,Observational,Graduate student,United Kingdom
Yes,No,Own,Python Shell Scripting Mathematica,Observational,Graduate student,United Kingdom
Yes,No,Between,Python C Fortran SQL Shell Scripting,Observational Theory,Graduate student,United States of America
Yes,No,Between,Python Shell Scripting Excel or other spreadsheet,Observational,Graduate student,Germany
Yes,No,Others,IDL Python,Observational,Graduate student,United States of America
Yes,No,Between,IDL Python C Excel or other spreadsheet Miriad,Observational,Graduate student,United States of America
Yes,No,Between,IDL IRAF Python Shell Scripting Excel or other spreadsheet,Observational,Graduate student,United States of America
Yes,No,Between,Matlab,Observational,Graduate student,United States of America
Yes,No,Between,Python Shell Scripting,Observational Instrumentation,Graduate student,Netherlands
Yes,No,Between,Python C,Theory,Graduate student,United States of America
Yes,No,Own,Python,Observational Theory,Graduate student,United States of America
Yes,No,Between,IDL Python Shell Scripting,Observational Planetary,Graduate student,United States of America
Yes,No,Others,IRAF Python Fortran Shell Scripting,Observational,Graduate student,Ireland
Yes,No,Between,IRAF Python Fortran R,Observational,Graduate student,Mexico
Yes,No,Own,IDL IRAF Python,Observational,Graduate student,United States of America
Yes,No,Between,C Shell Scripting,Observational,Graduate student,United States of America
Yes,No,Own,IDL CASA,Observational,Graduate student,Chile
Yes,No,Own,IDL Python Fortran Shell Scripting,Observational Theory,Graduate student,Germany
Yes,No,Others,C Shell Scripting sm or supermongo,Observational,Graduate student,Germany
Yes,No,Own,IDL C R Shell Scripting,Observational Theory,Graduate student,United States of America
Yes,No,Between,Python Shell Scripting,Observational,Graduate student,United States of America
Yes,No,Between,IDL IRAF Python Matlab,Planetary,Graduate student,United States of America
Yes,No,Own,Python C Perl SQL Shell Scripting,Instrumentation,Graduate student,United Kingdom
Yes,No,Between,Matlab,Theory Planetary,Graduate student,United States of America
Yes,No,Between,Python Shell Scripting,Instrumentation,Graduate student,United States of America
Yes,No,Own,IDL IRAF Python C Fortran sm or supermongo,Observational,Graduate student,Poland
Yes,No,Own,IDL C Shell Scripting,Theory,Graduate student,United States of America
Yes,No,Between,IDL Python Fortran Perl Julia Matlab Excel or other spreadsheet,Observational,Graduate student,Finland
Yes,No,Between,IDL IRAF Python Fortran Shell Scripting Excel or other spreadsheet,Observational,Graduate student,Australia
Yes,No,Between,IDL IRAF,Observational,Graduate student,United States of America
Yes,No,Between,Python Matlab,Theory,Graduate student,Australia
Yes,No,Between,Python,Observational,Graduate student,Australia
Yes,No,Between,IRAF Python,Observational Instrumentation,Graduate student,United States of America
Yes,No,Between,Python,Theory,Graduate student,United States of America
Yes,No,Between,Python,Observational,Graduate student,Australia
Yes,No,Others,IDL,Observational,Graduate student,United States of America
Yes,No,Own,IDL Python,Observational,Graduate student,United States of America
Yes,No,Between,Shell Scripting HTML/CSS C++,Observational,Graduate student,United States of America
Yes,No,Own,IDL Python C,Observational,Graduate student,United States of America
Yes,No,Own,IDL Python Matlab Shell Scripting Excel or other spreadsheet,Observational Instrumentation,Graduate student,Australia
Yes,No,Between,IDL Excel or other spreadsheet,Observational Instrumentation,Graduate student,United States of America
Yes,No,Between,IRAF Python Shell Scripting,Observational,Graduate student,Brazil
Yes,No,Own,IDL IRAF Shell Scripting HTML/CSS Excel or other spreadsheet,Observational Instrumentation,Graduate student,Brazil
Yes,No,Between,IRAF Python Perl Shell Scripting Excel or other spreadsheet,Observational,Graduate student,United States of America
Yes,No,Between,Python SQL HTML/CSS,Observational,Graduate student,Australia
Yes,No,Between,IDL,Observational,Graduate student,United States of America
Yes,No,Others,IDL Excel or other spreadsheet CASA KATE KILE,Observational,Graduate student,Chile
Yes,No,Own,Python,Observational Theory Planetary,Graduate student,United States of America
Yes,No,Own,IDL Python Fortran,Observational,Graduate student,Australia
Yes,No,Own,Python,Observational,Graduate student,Canada
Yes,No,Others,IRAF Python Excel or other spreadsheet XIMAGE,Observational,Graduate student,United States of America
Yes,No,Own,Python,Observational,Graduate student,Germany
Yes,No,Between,Python Fortran Shell Scripting Ruby Excel or other spreadsheet,Observational,Graduate student,Australia
Yes,No,Between,Python SQL,Observational,Graduate student,United States of America
Yes,No,Between,IDL IRAF Python Excel or other spreadsheet,Observational,Graduate student,United States of America
Yes,No,Between,Python C Fortran,Theory Planetary,Graduate student,United States of America
Yes,No,Between,IRAF Python,Observational,Graduate student,Poland
Yes,No,Others,Python C Matlab R Excel or other spreadsheet,Observational Theory,Graduate student,Brazil
Yes,No,Between,Python,Observational,Graduate student,United States of America
Yes,No,Between,Python Shell Scripting Excel or other spreadsheet tcl,Observational,Graduate student,United States of America
Yes,No,Between,Python,Observational,Graduate student,United States of America
Yes,No,Between,Python Shell Scripting,Observational,Graduate student,Netherlands
Yes,No,Between,IDL Fortran Shell Scripting,Observational Theory,Graduate student,United States of America
Yes,No,Own,IRAF Python Fortran sm or supermongo,Observational,Graduate student,Chile
Yes,No,Between,IDL IRAF Python Shell Scripting,Observational,Graduate student,Spain
Yes,No,Between,Python Perl Matlab Java SQL Shell Scripting HTML/CSS Excel or other spreadsheet C++ ImageJ,Observational modelling,Graduate student,Canada
Yes,No,Between,IDL IRAF Fortran sm or supermongo,Observational,Graduate student,United States of America
Yes,No,Own,IDL,Observational,Graduate student,Germany
Yes,No,Between,Python C Shell Scripting,Observational Theory,Graduate student,Sweden
Yes,No,Others,Python Fortran Ruby,Theory,Graduate student,Poland
Yes,No,Own,IDL,Observational,Graduate student,Germany
Yes,No,Own,Python,Observational Theory,Graduate student,Denmark
Yes,No,Own,IDL,Observational,Graduate student,Spain
Yes,No,Own,Python C Fortran,Observational Theory,Graduate student,Germany
Yes,No,Others,IDL IRAF Shell Scripting,Observational,Graduate student,Netherlands
Yes,No,Own,Python C Shell Scripting,Observational Instrumentation,Graduate student,Germany
Yes,No,Between,IDL IRAF Python,Observational,Graduate student,Finland
Yes,No,Between,Python,Observational,Graduate student,Sweden
Yes,No,Between,Matlab,Observational,Graduate student,Sweden
Yes,No,Between,Python,Instrumentation,Graduate student,Germany
Yes,No,Own,Python Fortran,Observational,Graduate student,Germany
Yes,No,Between,Python,Observational,Graduate student,United Kingdom
Yes,No,Between,IDL IRAF Python,Observational,Graduate student,United States of America
Yes,No,Between,IDL IRAF Python Shell Scripting,Observational,Graduate student,Germany
Yes,No,Between,Python,Observational,Graduate student,United States of America
Yes,No,Own,IDL Fortran,Observational Theory,Graduate student,Germany
Yes,No,Between,IRAF Python,Observational,Graduate student,Netherlands
Yes,No,Between,Python C Fortran,Observational,Graduate student,United States of America
Yes,No,Between,IRAF Python Shell Scripting Excel or other spreadsheet,Observational,Graduate student,Netherlands
Yes,No,Others,Python Fortran Shell Scripting dpuser,Observational,Graduate student,Germany
Yes,No,Between,IRAF Python R Mathematica,Observational,Graduate student,Canada
Yes,No,Between,IDL IRAF,Observational,Graduate student,United States of America
Yes,No,Between,Python C Shell Scripting,Theory,Graduate student,United States of America
Yes,No,Between,Python,Observational Theory,Graduate student,Denmark
Yes,No,Between,Python C Fortran Matlab sm or supermongo,Theory,Graduate student,United States of America
Yes,No,Between,Python,Observational Theory,Graduate student,Australia
Yes,No,Others,IDL IRAF Python Fortran R Shell Scripting Excel or other spreadsheet,Observational Theory,Graduate student,United States of America
